,id,date_created,no_of_likes,no_of_reply,source,tweets,url,username,location
1160,1559202234373742593,2022-08-15 15:35:55+00:00,28,2,Echobox,"Kidnapper writes Oyo varsity, bank, threatens abduction https://t.co/bPL2iniZpM",https://twitter.com/MobilePunch/status/1559202234373742593,MobilePunch,"Lagos, Nigeria"
1161,1559200277336449025,2022-08-15 15:28:09+00:00,56,1,Echobox,2Baba reacts to rumoured affair https://t.co/pqJPBvrYgm,https://twitter.com/MobilePunch/status/1559200277336449025,MobilePunch,"Lagos, Nigeria"
1162,1559198862216204295,2022-08-15 15:22:31+00:00,53,1,Echobox,"Ganduje moves to reshuffle cabinet, nominates eight commissioners https://t.co/avMGr5SW9E",https://twitter.com/MobilePunch/status/1559198862216204295,MobilePunch,"Lagos, Nigeria"
1163,1559194851463290882,2022-08-15 15:06:35+00:00,70,0,Echobox,Taliban mark turbulent first year in power https://t.co/Cr2mmAoRsu,https://twitter.com/MobilePunch/status/1559194851463290882,MobilePunch,"Lagos, Nigeria"
1164,1559192957391085569,2022-08-15 14:59:04+00:00,54,4,Echobox,2Baba reacts to rumoured affair https://t.co/sVgSu5RSaC,https://twitter.com/MobilePunch/status/1559192957391085569,MobilePunch,"Lagos, Nigeria"
1165,1559191291568824321,2022-08-15 14:52:26+00:00,74,4,Echobox,"Edo police kill five suspected kidnappers, rescue abductee https://t.co/q6NYGlsCmF",https://twitter.com/MobilePunch/status/1559191291568824321,MobilePunch,"Lagos, Nigeria"
1166,1559189519588630531,2022-08-15 14:45:24+00:00,55,0,Echobox,Ganduje seeks confirmation of eight commissioner-designates https://t.co/2w7kqJ1l91,https://twitter.com/MobilePunch/status/1559189519588630531,MobilePunch,"Lagos, Nigeria"
1167,1559188086180937732,2022-08-15 14:39:42+00:00,72,13,Echobox,India pledges commitment to end insecurity in Nigeria https://t.co/pquJ81zrY7,https://twitter.com/MobilePunch/status/1559188086180937732,MobilePunch,"Lagos, Nigeria"
1168,1559185990169788416,2022-08-15 14:31:22+00:00,18,0,Twitter for iPhone,"‘’Wasn’t an easy journey………Oju ri tooooo’’
 
Credit: Instagram | Eniola_Badmus

--
Follow us for more breaking news and videos
--
#eniolabadmus #weightloss #weightlossjourney #punchnewspapers",https://twitter.com/MobilePunch/status/1559185990169788416,MobilePunch,"Lagos, Nigeria"
1169,1559185987057713152,2022-08-15 14:31:22+00:00,30,1,Twitter for iPhone,"Although she has been on the weight loss journey for a while, this is the first time she is speaking about it. 

The actress on her Instagram, shared a picture comparing her body before the weight loss to her present frame saying that the journey had not been easy.",https://twitter.com/MobilePunch/status/1559185987057713152,MobilePunch,"Lagos, Nigeria"
1170,1559185983534501890,2022-08-15 14:31:21+00:00,667,55,Twitter for iPhone,"Actress Eniola Badmus Shares 'Body Transformation' Photos
 
Nigerian actress, Eniola Badmus, on Monday, shared her body transformation photos after months of weight loss. https://t.co/pxu5YuBJHV",https://twitter.com/MobilePunch/status/1559185983534501890,MobilePunch,"Lagos, Nigeria"
1171,1559185176726589446,2022-08-15 14:28:09+00:00,47,2,Echobox,Kebbi customs intercept 478 petrol kegs https://t.co/qJQFoULpyv,https://twitter.com/MobilePunch/status/1559185176726589446,MobilePunch,"Lagos, Nigeria"
1172,1559182756059422722,2022-08-15 14:18:31+00:00,61,2,Echobox,Ondo Rep offers N50m scholarship to 1000 students https://t.co/HYXvHbKmT9,https://twitter.com/MobilePunch/status/1559182756059422722,MobilePunch,"Lagos, Nigeria"
1173,1559178629900288005,2022-08-15 14:02:08+00:00,28,2,Twitter Web App,"So this happened (177) reviews resident doctors’ strike ultimatum, boy accidentally kills mum, other

Continue watching on our YouTube channel&gt;&gt;&gt; https://t.co/08h5oGxoQs https://t.co/uTyoLg71hT",https://twitter.com/MobilePunch/status/1559178629900288005,MobilePunch,"Lagos, Nigeria"
1174,1559178371732574211,2022-08-15 14:01:06+00:00,63,9,Echobox,Do You Agree? https://t.co/cwZsv0Fju9,https://twitter.com/MobilePunch/status/1559178371732574211,MobilePunch,"Lagos, Nigeria"
1175,1559169259665866753,2022-08-15 13:24:54+00:00,59,9,Echobox,Yola agog for Atiku https://t.co/vw2CwQkTyd,https://twitter.com/MobilePunch/status/1559169259665866753,MobilePunch,"Lagos, Nigeria"
1176,1559166140319948802,2022-08-15 13:12:30+00:00,1124,43,Echobox,Fulani group rejects Miyetti Allah's comments on Obi https://t.co/JemM7Tgdod,https://twitter.com/MobilePunch/status/1559166140319948802,MobilePunch,"Lagos, Nigeria"
1177,1559163199764811784,2022-08-15 13:00:49+00:00,39,3,Echobox,Ganduje responsible for Kano's peace - Reps Majority Leader https://t.co/gdUD8q5Njd,https://twitter.com/MobilePunch/status/1559163199764811784,MobilePunch,"Lagos, Nigeria"
1178,1559161004440911872,2022-08-15 12:52:05+00:00,24,0,Echobox,Group decries NDDC personnel audit prevention https://t.co/rYM0hGIfvy,https://twitter.com/MobilePunch/status/1559161004440911872,MobilePunch,"Lagos, Nigeria"
1179,1559159279571156992,2022-08-15 12:45:14+00:00,109,9,Echobox,"Terrorists attack Taraba Catholic church, abduct catechist https://t.co/tD7msOo1u4",https://twitter.com/MobilePunch/status/1559159279571156992,MobilePunch,"Lagos, Nigeria"
1180,1559157931123396610,2022-08-15 12:39:53+00:00,41,4,Echobox,Senate ticket: APC justifies expulsion of Umahi’s rival https://t.co/XW2yeVaJpD,https://twitter.com/MobilePunch/status/1559157931123396610,MobilePunch,"Lagos, Nigeria"
1181,1559156055405477888,2022-08-15 12:32:25+00:00,50,3,Echobox,Bankers to discuss repositioning at annual conference https://t.co/tox4tStues,https://twitter.com/MobilePunch/status/1559156055405477888,MobilePunch,"Lagos, Nigeria"
1182,1559154189590208514,2022-08-15 12:25:01+00:00,108,91,Twitter Web App,PUNCH Salvo https://t.co/WRoxMLaQ3E,https://twitter.com/MobilePunch/status/1559154189590208514,MobilePunch,"Lagos, Nigeria"
1183,1559152323628244992,2022-08-15 12:17:36+00:00,41,0,Twitter Web App,"Your tweet lack appropriate social behaviour, hence you should keep quiet.”
--
Follow us for more breaking news and videos",https://twitter.com/MobilePunch/status/1559152323628244992,MobilePunch,"Lagos, Nigeria"
1184,1559152320776224768,2022-08-15 12:17:35+00:00,121,2,Twitter Web App,"Our so-called leaders keep fuelling unnecessary hate and bigotry.”

Alhaji Yusuf tweeted, “What about us that can’t travel from Kaduna to Abuja throughout the week because of bandits? Decorum and civility is what you El Rufai should understand.",https://twitter.com/MobilePunch/status/1559152320776224768,MobilePunch,"Lagos, Nigeria"
1185,1559152314333667329,2022-08-15 12:17:34+00:00,17,2,Twitter Web App,"this is the time to show this man that power truly belongs to the people. Come and walk with us.”

Adewale Adetona tweeted, “From a sitting governor? This is so unnecessary and definitely not a way to foster a United Nigeria.",https://twitter.com/MobilePunch/status/1559152314333667329,MobilePunch,"Lagos, Nigeria"
1186,1559152307836682241,2022-08-15 12:17:32+00:00,7,3,Twitter Web App,"Another tweep, Oyin D said, “El Rufai just called the Obidient Movement IPOB by talking about shops that don’t open on Monday. My Kaduna people, you guys have been affected by terrorism in the last couple of years,",https://twitter.com/MobilePunch/status/1559152307836682241,MobilePunch,"Lagos, Nigeria"
1187,1559152299821391872,2022-08-15 12:17:30+00:00,10,1,Twitter Web App,"This hateful tweet disgracefully employs a racial stereotype that might expose peaceful marchers to real world harm. But you CAN act,” Ose Anenih tweeted.",https://twitter.com/MobilePunch/status/1559152299821391872,MobilePunch,"Lagos, Nigeria"
1188,1559152295769677825,2022-08-15 12:17:29+00:00,14,1,Twitter Web App,"Since even you as Governor has been restricted and left with writing letter to ICCIF!”

“The beautiful thing about the democratisation of social media is that you are not powerless.",https://twitter.com/MobilePunch/status/1559152295769677825,MobilePunch,"Lagos, Nigeria"
1189,1559152293118894080,2022-08-15 12:17:28+00:00,16,1,Twitter Web App,"Reactions have been trailing the governor’s tweet, with a number of knocking him for being insensitive.

Aisha Yesufu said, “As Governor who has been muscled by terrorists you surely know better right?",https://twitter.com/MobilePunch/status/1559152293118894080,MobilePunch,"Lagos, Nigeria"
1190,1559152284356976652,2022-08-15 12:17:26+00:00,8,1,Twitter Web App,"He said, “In Kaduna? Not Kaduna Twitter? - I hope you get Two Hundred persons on the streets… including those ‘imports’ that can’t open their shops on Mondays, and came on overnight bus last night!! I jus’ dey laff, wallahi tallahi!!”",https://twitter.com/MobilePunch/status/1559152284356976652,MobilePunch,"Lagos, Nigeria"
1191,1559152280280203264,2022-08-15 12:17:25+00:00,17,1,Twitter Web App,"A tweep, Abdullahi Umar Zarma, had tweeted a call for a two-million man march in Kaduna for Peter Obi. Quoting the tweet, El-Rufai dismissed the possibility of 200 persons coming for the rally and referred to south-easterners as 'imports'.",https://twitter.com/MobilePunch/status/1559152280280203264,MobilePunch,"Lagos, Nigeria"
1192,1559152276434026496,2022-08-15 12:17:25+00:00,301,21,Twitter Web App,"Obi Rally: Knocks For El-Rufai Over ‘Imports’ Tweet

Governor Nasir El-Rufai of Kaduna State, has been receiving some knocks on social media over his reaction to a planned rally in support of the presidential candidate of the Labour Party, Peter Obi, in his state capital, Kaduna. https://t.co/PFmJjJlr7Y",https://twitter.com/MobilePunch/status/1559152276434026496,MobilePunch,"Lagos, Nigeria"
1193,1559151727332442112,2022-08-15 12:15:14+00:00,46,2,Echobox,Osun LG poll holds October 15 - OSSIEC chair https://t.co/kFxWWJptTJ,https://twitter.com/MobilePunch/status/1559151727332442112,MobilePunch,"Lagos, Nigeria"
